No,Sub Bidang,Bidang Induk,Rentang,Status,Deskripsi Analisis,Jml Kata
80,Lingkungan Sekolah,Belajar,89% - 100%,Sangat Berat - Tinggi,"Siswa mengalami kebuntuan semangat belajar yang sangat ekstrem akibat beban akademik yang dirasa terlalu berat khususnya pada aspek Lingkungan Sekolah. Kondisi ini memicu kesulitan besar dalam berpikir, hilangnya minat belajar secara total, serta keengganan menyeluruh terhadap aktivitas sekolah.",38
81,Lingkungan Sosial Belajar,Belajar,0% - 12%,Ringan - Rendah,"Siswa menunjukkan efektivitas belajar yang sangat tinggi, memiliki konsentrasi yang penuh, serta kemandirian yang matang dalam menyelesaikan tuntutan akademik khususnya pada aspek Lingkungan Sosial Belajar. Proses pemahaman dan semangat belajarnya berkembang dengan sangat optimal tanpa kendala yang berarti.",38
82,Lingkungan Sosial Belajar,Belajar,13% - 25%,Ringan - Tinggi,"Siswa memiliki kebiasaan belajar yang teratur khususnya pada aspek Lingkungan Sosial Belajar. Meskipun sesekali muncul rasa bosan atau penurunan fokus yang wajar, siswa secara umum tetap mampu mempertahankan hasil belajarnya dan menunjukkan tanggung jawab yang baik terhadap tugas sekolah.",39
83,Lingkungan Sosial Belajar,Belajar,26% - 38%,Sedang - Rendah,"Siswa mulai menunjukkan kendala dalam mempertahankan konsistensi fokus belajar khususnya pada aspek Lingkungan Sosial Belajar. Terdapat indikasi penurunan semangat atau hambatan ringan dalam mengatur waktu belajar, sehingga siswa terkadang merasa kewalahan menghadapi banyaknya tugas di kelas.",36
84,Lingkungan Sosial Belajar,Belajar,39% - 50%,Sedang - Tinggi,"Kondisi akademis siswa mengalami hambatan yang cukup mengganggu kenyamanan belajarnya khususnya pada aspek Lingkungan Sosial Belajar. Siswa sering kali merasa kesulitan berkonsentrasi, merasa gugup saat menghadapi ujian, serta mulai menunjukkan penurunan hasil belajar akibat cara belajar yang kurang tepat.",39
85,Lingkungan Sosial Belajar,Belajar,51% - 63%,Berat - Rendah,"Siswa menunjukkan penurunan hasil belajar yang terlihat jelas akibat kendala yang menumpuk khususnya pada aspek Lingkungan Sosial Belajar. Kondisi ini diwarnai oleh rasa malas yang terus muncul, kebosanan belajar yang tinggi, serta kesulitan menangkap pelajaran yang membuat siswa merasa tertinggal.",40
86,Lingkungan Sosial Belajar,Belajar,64% - 75%,Berat - Tinggi,"Siswa mengalami kelelahan belajar yang sangat berat, ditandai dengan sikap tidak acuh terhadap tugas-tugas sekolah khususnya pada aspek Lingkungan Sosial Belajar. Hambatan ini telah menurunkan rasa percaya diri akan kemampuan akademiknya, membuat siswa merasa kesulitan untuk mengejar ketertinggalan.",38
87,Lingkungan Sosial Belajar,Belajar,76% - 88%,Sangat Berat - Rendah,"Siswa berada dalam fase krisis semangat belajar yang serius, ditandai dengan keengganan yang sangat kuat terhadap proses pembelajaran khususnya pada aspek Lingkungan Sosial Belajar. Pikirannya diliputi kekhawatiran belajar yang tinggi, sehingga sangat mengurangi keikutsertaannya dalam kegiatan belajar di sekolah.",39
88,Lingkungan Sosial Belajar,Belajar,89% - 100%,Sangat Berat - Tinggi,"Siswa mengalami kebuntuan semangat belajar yang sangat ekstrem akibat beban akademik yang dirasa terlalu berat khususnya pada aspek Lingkungan Sosial Belajar. Kondisi ini memicu kesulitan besar dalam berpikir, hilangnya minat belajar secara total, serta keengganan menyeluruh terhadap aktivitas sekolah.",39
89,Manajemen Waktu,Belajar,0% - 12%,Ringan - Rendah,"Siswa menunjukkan efektivitas belajar yang sangat tinggi, memiliki konsentrasi yang penuh, serta kemandirian yang matang dalam menyelesaikan tuntutan akademik khususnya pada aspek Manajemen Waktu. Proses pemahaman dan semangat belajarnya berkembang dengan sangat optimal tanpa kendala yang berarti.",37
90,Manajemen Waktu,Belajar,13% - 25%,Ringan - Tinggi,"Siswa memiliki kebiasaan belajar yang teratur khususnya pada aspek Manajemen Waktu. Meskipun sesekali muncul rasa bosan atau penurunan fokus yang wajar, siswa secara umum tetap mampu mempertahankan hasil belajarnya dan menunjukkan tanggung jawab yang baik terhadap tugas sekolah.",38
91,Manajemen Waktu,Belajar,26% - 38%,Sedang - Rendah,"Siswa mulai menunjukkan kendala dalam mempertahankan konsistensi fokus belajar khususnya pada aspek Manajemen Waktu. Terdapat indikasi penurunan semangat atau hambatan ringan dalam mengatur waktu belajar, sehingga siswa terkadang merasa kewalahan menghadapi banyaknya tugas di kelas.",35
92,Manajemen Waktu,Belajar,39% - 50%,Sedang - Tinggi,"Kondisi akademis siswa mengalami hambatan yang cukup mengganggu kenyamanan belajarnya khususnya pada aspek Manajemen Waktu. Siswa sering kali merasa kesulitan berkonsentrasi, merasa gugup saat menghadapi ujian, serta mulai menunjukkan penurunan hasil belajar akibat cara belajar yang kurang tepat.",38
93,Manajemen Waktu,Belajar,51% - 63%,Berat - Rendah,"Siswa menunjukkan penurunan hasil belajar yang terlihat jelas akibat kendala yang menumpuk khususnya pada aspek Manajemen Waktu. Kondisi ini diwarnai oleh rasa malas yang terus muncul, kebosanan belajar yang tinggi, serta kesulitan menangkap pelajaran yang membuat siswa merasa tertinggal.",39
94,Manajemen Waktu,Belajar,64% - 75%,Berat - Tinggi,"Siswa mengalami kelelahan belajar yang sangat berat, ditandai dengan sikap tidak acuh terhadap tugas-tugas sekolah khususnya pada aspek Manajemen Waktu. Hambatan ini telah menurunkan rasa percaya diri akan kemampuan akademiknya, membuat siswa merasa kesulitan untuk mengejar ketertinggalan.",37
95,Manajemen Waktu,Belajar,76% - 88%,Sangat Berat - Rendah,"Siswa berada dalam fase krisis semangat belajar yang serius, ditandai dengan keengganan yang sangat kuat terhadap proses pembelajaran khususnya pada aspek Manajemen Waktu. Pikirannya diliputi kekhawatiran belajar yang tinggi, sehingga sangat mengurangi keikutsertaannya dalam kegiatan belajar di sekolah.",38
96,Manajemen Waktu,Belajar,89% - 100%,Sangat Berat - Tinggi,"Siswa mengalami kebuntuan semangat belajar yang sangat ekstrem akibat beban akademik yang dirasa terlalu berat khususnya pada aspek Manajemen Waktu. Kondisi ini memicu kesulitan besar dalam berpikir, hilangnya minat belajar secara total, serta keengganan menyeluruh terhadap aktivitas sekolah.",38
97,Motivasi Belajar,Belajar,0% - 12%,Ringan - Rendah,"Siswa menunjukkan efektivitas belajar yang sangat tinggi, memiliki konsentrasi yang penuh, serta kemandirian yang matang dalam menyelesaikan tuntutan akademik khususnya pada aspek Motivasi Belajar. Proses pemahaman dan semangat belajarnya berkembang dengan sangat optimal tanpa kendala yang berarti.",37
98,Motivasi Belajar,Belajar,13% - 25%,Ringan - Tinggi,"Siswa memiliki kebiasaan belajar yang teratur khususnya pada aspek Motivasi Belajar. Meskipun sesekali muncul rasa bosan atau penurunan fokus yang wajar, siswa secara umum tetap mampu mempertahankan hasil belajarnya dan menunjukkan tanggung jawab yang baik terhadap tugas sekolah.",38
99,Motivasi Belajar,Belajar,26% - 38%,Sedang - Rendah,"Siswa mulai menunjukkan kendala dalam mempertahankan konsistensi fokus belajar khususnya pada aspek Motivasi Belajar. Terdapat indikasi penurunan semangat atau hambatan ringan dalam mengatur waktu belajar, sehingga siswa terkadang merasa kewalahan menghadapi banyaknya tugas di kelas.",35
100,Motivasi Belajar,Belajar,39% - 50%,Sedang - Tinggi,"Kondisi akademis siswa mengalami hambatan yang cukup mengganggu kenyamanan belajarnya khususnya pada aspek Motivasi Belajar. Siswa sering kali merasa kesulitan berkonsentrasi, merasa gugup saat menghadapi ujian, serta mulai menunjukkan penurunan hasil belajar akibat cara belajar yang kurang tepat.",38
101,Motivasi Belajar,Belajar,51% - 63%,Berat - Rendah,"Siswa menunjukkan penurunan hasil belajar yang terlihat jelas akibat kendala yang menumpuk khususnya pada aspek Motivasi Belajar. Kondisi ini diwarnai oleh rasa malas yang terus muncul, kebosanan belajar yang tinggi, serta kesulitan menangkap pelajaran yang membuat siswa merasa tertinggal.",39
102,Motivasi Belajar,Belajar,64% - 75%,Berat - Tinggi,"Siswa mengalami kelelahan belajar yang sangat berat, ditandai dengan sikap tidak acuh terhadap tugas-tugas sekolah khususnya pada aspek Motivasi Belajar. Hambatan ini telah menurunkan rasa percaya diri akan kemampuan akademiknya, membuat siswa merasa kesulitan untuk mengejar ketertinggalan.",37
103,Motivasi Belajar,Belajar,76% - 88%,Sangat Berat - Rendah,"Siswa berada dalam fase krisis semangat belajar yang serius, ditandai dengan keengganan yang sangat kuat terhadap proses pembelajaran khususnya pada aspek Motivasi Belajar. Pikirannya diliputi kekhawatiran belajar yang tinggi, sehingga sangat mengurangi keikutsertaannya dalam kegiatan belajar di sekolah.",38
104,Motivasi Belajar,Belajar,89% - 100%,Sangat Berat - Tinggi,"Siswa mengalami kebuntuan semangat belajar yang sangat ekstrem akibat beban akademik yang dirasa terlalu berat khususnya pada aspek Motivasi Belajar. Kondisi ini memicu kesulitan besar dalam berpikir, hilangnya minat belajar secara total, serta keengganan menyeluruh terhadap aktivitas sekolah.",38
105,Sikap Belajar,Belajar,0% - 12%,Ringan - Rendah,"Siswa menunjukkan efektivitas belajar yang sangat tinggi, memiliki konsentrasi yang penuh, serta kemandirian yang matang dalam menyelesaikan tuntutan akademik khususnya pada aspek Sikap Belajar. Proses pemahaman dan semangat belajarnya berkembang dengan sangat optimal tanpa kendala yang berarti.",37
106,Sikap Belajar,Belajar,13% - 25%,Ringan - Tinggi,"Siswa memiliki kebiasaan belajar yang teratur khususnya pada aspek Sikap Belajar. Meskipun sesekali muncul rasa bosan atau penurunan fokus yang wajar, siswa secara umum tetap mampu mempertahankan hasil belajarnya dan menunjukkan tanggung jawab yang baik terhadap tugas sekolah.",38
107,Sikap Belajar,Belajar,26% - 38%,Sedang - Rendah,"Siswa mulai menunjukkan kendala dalam mempertahankan konsistensi fokus belajar khususnya pada aspek Sikap Belajar. Terdapat indikasi penurunan semangat atau hambatan ringan dalam mengatur waktu belajar, sehingga siswa terkadang merasa kewalahan menghadapi banyaknya tugas di kelas.",35
108,Sikap Belajar,Belajar,39% - 50%,Sedang - Tinggi,"Kondisi akademis siswa mengalami hambatan yang cukup mengganggu kenyamanan belajarnya khususnya pada aspek Sikap Belajar. Siswa sering kali merasa kesulitan berkonsentrasi, merasa gugup saat menghadapi ujian, serta mulai menunjukkan penurunan hasil belajar akibat cara belajar yang kurang tepat.",38
109,Sikap Belajar,Belajar,51% - 63%,Berat - Rendah,"Siswa menunjukkan penurunan hasil belajar yang terlihat jelas akibat kendala yang menumpuk khususnya pada aspek Sikap Belajar. Kondisi ini diwarnai oleh rasa malas yang terus muncul, kebosanan belajar yang tinggi, serta kesulitan menangkap pelajaran yang membuat siswa merasa tertinggal.",39
110,Sikap Belajar,Belajar,64% - 75%,Berat - Tinggi,"Siswa mengalami kelelahan belajar yang sangat berat, ditandai dengan sikap tidak acuh terhadap tugas-tugas sekolah khususnya pada aspek Sikap Belajar. Hambatan ini telah menurunkan rasa percaya diri akan kemampuan akademiknya, membuat siswa merasa kesulitan untuk mengejar ketertinggalan.",37
111,Sikap Belajar,Belajar,76% - 88%,Sangat Berat - Rendah,"Siswa berada dalam fase krisis semangat belajar yang serius, ditandai dengan keengganan yang sangat kuat terhadap proses pembelajaran khususnya pada aspek Sikap Belajar. Pikirannya diliputi kekhawatiran belajar yang tinggi, sehingga sangat mengurangi keikutsertaannya dalam kegiatan belajar di sekolah.",38
112,Sikap Belajar,Belajar,89% - 100%,Sangat Berat - Tinggi,"Siswa mengalami kebuntuan semangat belajar yang sangat ekstrem akibat beban akademik yang dirasa terlalu berat khususnya pada aspek Sikap Belajar. Kondisi ini memicu kesulitan besar dalam berpikir, hilangnya minat belajar secara total, serta keengganan menyeluruh terhadap aktivitas sekolah.",38
113,Etika Sosial,Sosial,0% - 12%,Ringan - Rendah,"Siswa memiliki kemampuan bergaul yang luar biasa, mampu membangun pertemanan yang hangat, serta menunjukkan penyesuaian yang sangat baik dengan lingkungan sekitar khususnya pada aspek Etika Sosial. Sikap sosialnya sangat luwes, membuat siswa mudah diterima dan berkomunikasi dengan santun.",38
114,Etika Sosial,Sosial,13% - 25%,Ringan - Tinggi,"Hubungan pergaulan siswa tergolong sehat dan mudah menyesuaikan diri khususnya pada aspek Etika Sosial. Meskipun sesekali terjadi salah paham kecil dengan teman sebaya yang wajar bagi remaja, siswa tetap mampu menyelesaikannya dengan baik dan menjaga hubungan yang positif.",38
115,Etika Sosial,Sosial,26% - 38%,Sedang - Rendah,"Siswa mulai menunjukkan rasa canggung atau hambatan dalam membaur dengan lingkungan pergaulan khususnya pada aspek Etika Sosial. Kondisi ini membuat siswa terkadang merasa kurang percaya diri, ragu-ragu saat berbicara, atau memilih membatasi interaksi dengan teman sebaya di sekolah.",38
116,Etika Sosial,Sosial,39% - 50%,Sedang - Tinggi,"Kondisi hubungan pertemanan siswa mengalami hambatan yang cukup mengganggu kenyamanannya khususnya pada aspek Etika Sosial. Siswa sering kali merasa kurang cocok, merasa kurang diterima oleh kelompok, atau mengalami selisih paham yang cukup menyita pikirannya di lingkungan sekolah.",37
117,Etika Sosial,Sosial,51% - 63%,Berat - Rendah,"Siswa mengalami kesulitan bergaul yang cukup berat, ditandai dengan keengganan memulai pertemanan dan kecenderungan menjauh dari keramaian khususnya pada aspek Etika Sosial. Kondisi ini memicu rasa kesepian dan menciptakan jarak komunikasi yang cukup lebar dengan lingkungan sekitarnya.",37
118,Etika Sosial,Sosial,64% - 75%,Berat - Tinggi,"Siswa menunjukkan hambatan penyesuaian pergaulan yang terus-menerus, diwarnai oleh perselisihan antar teman atau sikap menyendiri yang sangat terlihat khususnya pada aspek Etika Sosial. Kondisi ini membuat siswa merasa sangat tidak nyaman dan kehilangan kepercayaan terhadap teman di sekitarnya.",38
119,Etika Sosial,Sosial,76% - 88%,Sangat Berat - Rendah,"Siswa berada dalam kondisi krisis pergaulan yang mendalam, ditandai dengan penolakan terhadap ajakan berteman atau perilaku menyendiri secara berlebihan khususnya pada aspek Etika Sosial. Siswa merasa sangat kesepian, merasa cemas saat berada di keramaian, dan sangat membatasi interaksinya.",38
120,Etika Sosial,Sosial,89% - 100%,Sangat Berat - Tinggi,"Siswa mengalami kesulitan berinteraksi yang sangat ekstrem, ditandai dengan ketakutan yang luar biasa untuk bersosialisasi dan perasaan terasing dari lingkungan sekolah khususnya pada aspek Etika Sosial. Kondisi ini menghambat kemampuannya berkomunikasi serta menciptakan jarak pergaulan yang sangat jauh dengan orang lain.",41
121,Gaya Hidup & Lingkungan Sosial,Sosial,0% - 12%,Ringan - Rendah,"Siswa memiliki kemampuan bergaul yang luar biasa, mampu membangun pertemanan yang hangat, serta menunjukkan penyesuaian yang sangat baik dengan lingkungan sekitar khususnya pada aspek Gaya Hidup & Lingkungan Sosial. Sikap sosialnya sangat luwes, membuat siswa mudah diterima dan berkomunikasi dengan santun.",41
122,Gaya Hidup & Lingkungan Sosial,Sosial,13% - 25%,Ringan - Tinggi,"Hubungan pergaulan siswa tergolong sehat dan mudah menyesuaikan diri khususnya pada aspek Gaya Hidup & Lingkungan Sosial. Meskipun sesekali terjadi salah paham kecil dengan teman sebaya yang wajar bagi remaja, siswa tetap mampu menyelesaikannya dengan baik dan menjaga hubungan yang positif.",41
123,Gaya Hidup & Lingkungan Sosial,Sosial,26% - 38%,Sedang - Rendah,"Siswa mulai menunjukkan rasa canggung atau hambatan dalam membaur dengan lingkungan pergaulan khususnya pada aspek Gaya Hidup & Lingkungan Sosial. Kondisi ini membuat siswa terkadang merasa kurang percaya diri, ragu-ragu saat berbicara, atau memilih membatasi interaksi dengan teman sebaya di sekolah.",41
124,Gaya Hidup & Lingkungan Sosial,Sosial,39% - 50%,Sedang - Tinggi,"Kondisi hubungan pertemanan siswa mengalami hambatan yang cukup mengganggu kenyamanannya khususnya pada aspek Gaya Hidup & Lingkungan Sosial. Siswa sering kali merasa kurang cocok, merasa kurang diterima oleh kelompok, atau mengalami selisih paham yang cukup menyita pikirannya di lingkungan sekolah.",40
125,Gaya Hidup & Lingkungan Sosial,Sosial,51% - 63%,Berat - Rendah,"Siswa mengalami kesulitan bergaul yang cukup berat, ditandai dengan keengganan memulai pertemanan dan kecenderungan menjauh dari keramaian khususnya pada aspek Gaya Hidup & Lingkungan Sosial. Kondisi ini memicu rasa kesepian dan menciptakan jarak komunikasi yang cukup lebar dengan lingkungan sekitarnya.",40
126,Gaya Hidup & Lingkungan Sosial,Sosial,64% - 75%,Berat - Tinggi,"Siswa menunjukkan hambatan penyesuaian pergaulan yang terus-menerus, diwarnai oleh perselisihan antar teman atau sikap menyendiri yang sangat terlihat khususnya pada aspek Gaya Hidup & Lingkungan Sosial. Kondisi ini membuat siswa merasa sangat tidak nyaman dan kehilangan kepercayaan terhadap teman di sekitarnya.",41
127,Gaya Hidup & Lingkungan Sosial,Sosial,76% - 88%,Sangat Berat - Rendah,"Siswa berada dalam kondisi krisis pergaulan yang mendalam, ditandai dengan penolakan terhadap ajakan berteman atau perilaku menyendiri secara berlebihan khususnya pada aspek Gaya Hidup & Lingkungan Sosial. Siswa merasa sangat kesepian, merasa cemas saat berada di keramaian, dan sangat membatasi interaksinya.",41
128,Gaya Hidup & Lingkungan Sosial,Sosial,89% - 100%,Sangat Berat - Tinggi,"Siswa mengalami kesulitan berinteraksi yang sangat ekstrem, ditandai dengan ketakutan yang luar biasa untuk bersosialisasi dan perasaan terasing dari lingkungan sekolah khususnya pada aspek Gaya Hidup & Lingkungan Sosial. Kondisi ini menghambat kemampuannya berkomunikasi serta menciptakan jarak pergaulan yang sangat jauh dengan orang lain.",44
129,Hubungan Keluarga,Sosial,0% - 12%,Ringan - Rendah,"Siswa memiliki kemampuan bergaul yang luar biasa, mampu membangun pertemanan yang hangat, serta menunjukkan penyesuaian yang sangat baik dengan lingkungan sekitar khususnya pada aspek Hubungan Keluarga. Sikap sosialnya sangat luwes, membuat siswa mudah diterima dan berkomunikasi dengan santun.",38
130,Hubungan Keluarga,Sosial,13% - 25%,Ringan - Tinggi,"Hubungan pergaulan siswa tergolong sehat dan mudah menyesuaikan diri khususnya pada aspek Hubungan Keluarga. Meskipun sesekali terjadi salah paham kecil dengan teman sebaya yang wajar bagi remaja, siswa tetap mampu menyelesaikannya dengan baik dan menjaga hubungan yang positif.",38
131,Hubungan Keluarga,Sosial,26% - 38%,Sedang - Rendah,"Siswa mulai menunjukkan rasa canggung atau hambatan dalam membaur dengan lingkungan pergaulan khususnya pada aspek Hubungan Keluarga. Kondisi ini membuat siswa terkadang merasa kurang percaya diri, ragu-ragu saat berbicara, atau memilih membatasi interaksi dengan teman sebaya di sekolah.",38
132,Hubungan Keluarga,Sosial,39% - 50%,Sedang - Tinggi,"Kondisi hubungan pertemanan siswa mengalami hambatan yang cukup mengganggu kenyamanannya khususnya pada aspek Hubungan Keluarga. Siswa sering kali merasa kurang cocok, merasa kurang diterima oleh kelompok, atau mengalami selisih paham yang cukup menyita pikirannya di lingkungan sekolah.",37
133,Hubungan Keluarga,Sosial,51% - 63%,Berat - Rendah,"Siswa mengalami kesulitan bergaul yang cukup berat, ditandai dengan keengganan memulai pertemanan dan kecenderungan menjauh dari keramaian khususnya pada aspek Hubungan Keluarga. Kondisi ini memicu rasa kesepian dan menciptakan jarak komunikasi yang cukup lebar dengan lingkungan sekitarnya.",37
134,Hubungan Keluarga,Sosial,64% - 75%,Berat - Tinggi,"Siswa menunjukkan hambatan penyesuaian pergaulan yang terus-menerus, diwarnai oleh perselisihan antar teman atau sikap menyendiri yang sangat terlihat khususnya pada aspek Hubungan Keluarga. Kondisi ini membuat siswa merasa sangat tidak nyaman dan kehilangan kepercayaan terhadap teman di sekitarnya.",38
135,Hubungan Keluarga,Sosial,76% - 88%,Sangat Berat - Rendah,"Siswa berada dalam kondisi krisis pergaulan yang mendalam, ditandai dengan penolakan terhadap ajakan berteman atau perilaku menyendiri secara berlebihan khususnya pada aspek Hubungan Keluarga. Siswa merasa sangat kesepian, merasa cemas saat berada di keramaian, dan sangat membatasi interaksinya.",38
136,Hubungan Keluarga,Sosial,89% - 100%,Sangat Berat - Tinggi,"Siswa mengalami kesulitan berinteraksi yang sangat ekstrem, ditandai dengan ketakutan yang luar biasa untuk bersosialisasi dan perasaan terasing dari lingkungan sekolah khususnya pada aspek Hubungan Keluarga. Kondisi ini menghambat kemampuannya berkomunikasi serta menciptakan jarak pergaulan yang sangat jauh dengan orang lain.",41
137,Hubungan Teman,Sosial,0% - 12%,Ringan - Rendah,"Siswa memiliki kemampuan bergaul yang luar biasa, mampu membangun pertemanan yang hangat, serta menunjukkan penyesuaian yang sangat baik dengan lingkungan sekitar khususnya pada aspek Hubungan Teman. Sikap sosialnya sangat luwes, membuat siswa mudah diterima dan berkomunikasi dengan santun.",38
138,Hubungan Teman,Sosial,13% - 25%,Ringan - Tinggi,"Hubungan pergaulan siswa tergolong sehat dan mudah menyesuaikan diri khususnya pada aspek Hubungan Teman. Meskipun sesekali terjadi salah paham kecil dengan teman sebaya yang wajar bagi remaja, siswa tetap mampu menyelesaikannya dengan baik dan menjaga hubungan yang positif.",38
139,Hubungan Teman,Sosial,26% - 38%,Sedang - Rendah,"Siswa mulai menunjukkan rasa canggung atau hambatan dalam membaur dengan lingkungan pergaulan khususnya pada aspek Hubungan Teman. Kondisi ini membuat siswa terkadang merasa kurang percaya diri, ragu-ragu saat berbicara, atau memilih membatasi interaksi dengan teman sebaya di sekolah.",38
140,Hubungan Teman,Sosial,39% - 50%,Sedang - Tinggi,"Kondisi hubungan pertemanan siswa mengalami hambatan yang cukup mengganggu kenyamanannya khususnya pada aspek Hubungan Teman. Siswa sering kali merasa kurang cocok, merasa kurang diterima oleh kelompok, atau mengalami selisih paham yang cukup menyita pikirannya di lingkungan sekolah.",37
141,Hubungan Teman,Sosial,51% - 63%,Berat - Rendah,"Siswa mengalami kesulitan bergaul yang cukup berat, ditandai dengan keengganan memulai pertemanan dan kecenderungan menjauh dari keramaian khususnya pada aspek Hubungan Teman. Kondisi ini memicu rasa kesepian dan menciptakan jarak komunikasi yang cukup lebar dengan lingkungan sekitarnya.",37
142,Hubungan Teman,Sosial,64% - 75%,Berat - Tinggi,"Siswa menunjukkan hambatan penyesuaian pergaulan yang terus-menerus, diwarnai oleh perselisihan antar teman atau sikap menyendiri yang sangat terlihat khususnya pada aspek Hubungan Teman. Kondisi ini membuat siswa merasa sangat tidak nyaman dan kehilangan kepercayaan terhadap teman di sekitarnya.",38
143,Hubungan Teman,Sosial,76% - 88%,Sangat Berat - Rendah,"Siswa berada dalam kondisi krisis pergaulan yang mendalam, ditandai dengan penolakan terhadap ajakan berteman atau perilaku menyendiri secara berlebihan khususnya pada aspek Hubungan Teman. Siswa merasa sangat kesepian, merasa cemas saat berada di keramaian, dan sangat membatasi interaksinya.",38
144,Hubungan Teman,Sosial,89% - 100%,Sangat Berat - Tinggi,"Siswa mengalami kesulitan berinteraksi yang sangat ekstrem, ditandai dengan ketakutan yang luar biasa untuk bersosialisasi dan perasaan terasing dari lingkungan sekolah khususnya pada aspek Hubungan Teman. Kondisi ini menghambat kemampuannya berkomunikasi serta menciptakan jarak pergaulan yang sangat jauh dengan orang lain.",41
145,Keterampilan Sosial,Sosial,0% - 12%,Ringan - Rendah,"Siswa memiliki kemampuan bergaul yang luar biasa, mampu membangun pertemanan yang hangat, serta menunjukkan penyesuaian yang sangat baik dengan lingkungan sekitar khususnya pada aspek Keterampilan Sosial. Sikap sosialnya sangat luwes, membuat siswa mudah diterima dan berkomunikasi dengan santun.",38
146,Keterampilan Sosial,Sosial,13% - 25%,Ringan - Tinggi,"Hubungan pergaulan siswa tergolong sehat dan mudah menyesuaikan diri khususnya pada aspek Keterampilan Sosial. Meskipun sesekali terjadi salah paham kecil dengan teman sebaya yang wajar bagi remaja, siswa tetap mampu menyelesaikannya dengan baik dan menjaga hubungan yang positif.",38
147,Keterampilan Sosial,Sosial,26% - 38%,Sedang - Rendah,"Siswa mulai menunjukkan rasa canggung atau hambatan dalam membaur dengan lingkungan pergaulan khususnya pada aspek Keterampilan Sosial. Kondisi ini membuat siswa terkadang merasa kurang percaya diri, ragu-ragu saat berbicara, atau memilih membatasi interaksi dengan teman sebaya di sekolah.",38
148,Keterampilan Sosial,Sosial,39% - 50%,Sedang - Tinggi,"Kondisi hubungan pertemanan siswa mengalami hambatan yang cukup mengganggu kenyamanannya khususnya pada aspek Keterampilan Sosial. Siswa sering kali merasa kurang cocok, merasa kurang diterima oleh kelompok, atau mengalami selisih paham yang cukup menyita pikirannya di lingkungan sekolah.",37
149,Keterampilan Sosial,Sosial,51% - 63%,Berat - Rendah,"Siswa mengalami kesulitan bergaul yang cukup berat, ditandai dengan keengganan memulai pertemanan dan kecenderungan menjauh dari keramaian khususnya pada aspek Keterampilan Sosial. Kondisi ini memicu rasa kesepian dan menciptakan jarak komunikasi yang cukup lebar dengan lingkungan sekitarnya.",37
150,Keterampilan Sosial,Sosial,64% - 75%,Berat - Tinggi,"Siswa menunjukkan hambatan penyesuaian pergaulan yang terus-menerus, diwarnai oleh perselisihan antar teman atau sikap menyendiri yang sangat terlihat khususnya pada aspek Keterampilan Sosial. Kondisi ini membuat siswa merasa sangat tidak nyaman dan kehilangan kepercayaan terhadap teman di sekitarnya.",38
151,Keterampilan Sosial,Sosial,76% - 88%,Sangat Berat - Rendah,"Siswa berada dalam kondisi krisis pergaulan yang mendalam, ditandai dengan penolakan terhadap ajakan berteman atau perilaku menyendiri secara berlebihan khususnya pada aspek Keterampilan Sosial. Siswa merasa sangat kesepian, merasa cemas saat berada di keramaian, dan sangat membatasi interaksinya.",38
152,Keterampilan Sosial,Sosial,89% - 100%,Sangat Berat - Tinggi,"Siswa mengalami kesulitan berinteraksi yang sangat ekstrem, ditandai dengan ketakutan yang luar biasa untuk bersosialisasi dan perasaan terasing dari lingkungan sekolah khususnya pada aspek Keterampilan Sosial. Kondisi ini menghambat kemampuannya berkomunikasi serta menciptakan jarak pergaulan yang sangat jauh dengan orang lain.",41
153,Masalah Sosial,Sosial,0% - 12%,Ringan - Rendah,"Siswa memiliki kemampuan bergaul yang luar biasa, mampu membangun pertemanan yang hangat, serta menunjukkan penyesuaian yang sangat baik dengan lingkungan sekitar khususnya pada aspek Masalah Sosial. Sikap sosialnya sangat luwes, membuat siswa mudah diterima dan berkomunikasi dengan santun.",38
154,Masalah Sosial,Sosial,13% - 25%,Ringan - Tinggi,"Hubungan pergaulan siswa tergolong sehat dan mudah menyesuaikan diri khususnya pada aspek Masalah Sosial. Meskipun sesekali terjadi salah paham kecil dengan teman sebaya yang wajar bagi remaja, siswa tetap mampu menyelesaikannya dengan baik dan menjaga hubungan yang positif.",38
155,Masalah Sosial,Sosial,26% - 38%,Sedang - Rendah,"Siswa mulai menunjukkan rasa canggung atau hambatan dalam membaur dengan lingkungan pergaulan khususnya pada aspek Masalah Sosial. Kondisi ini membuat siswa terkadang merasa kurang percaya diri, ragu-ragu saat berbicara, atau memilih membatasi interaksi dengan teman sebaya di sekolah.",38
156,Masalah Sosial,Sosial,39% - 50%,Sedang - Tinggi,"Kondisi hubungan pertemanan siswa mengalami hambatan yang cukup mengganggu kenyamanannya khususnya pada aspek Masalah Sosial. Siswa sering kali merasa kurang cocok, merasa kurang diterima oleh kelompok, atau mengalami selisih paham yang cukup menyita pikirannya di lingkungan sekolah.",37
157,Masalah Sosial,Sosial,51% - 63%,Berat - Rendah,"Siswa mengalami kesulitan bergaul yang cukup berat, ditandai dengan keengganan memulai pertemanan dan kecenderungan menjauh dari keramaian khususnya pada aspek Masalah Sosial. Kondisi ini memicu rasa kesepian dan menciptakan jarak komunikasi yang cukup lebar dengan lingkungan sekitarnya.",37
